transactionId,ledgerReference,status,amount,currency,postedAt,entryType,accountReference,metadata
TXN-90026,LED-90026,POSTED,199.0,INR,2026-08-01 11:42:23,CREDIT,ACC-1008,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90027,LED-90027,POSTED,199.0,INR,2026-08-01 11:52:26,CREDIT,ACC-1021,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90028,LED-90028,POSTED,999.0,INR,2026-08-01 11:57:49,CREDIT,ACC-1070,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90030,LED-90030,POSTED,1599.0,INR,2026-08-01 12:08:21,CREDIT,ACC-1079,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90031,LED-90031,POSTED,6750.0,INR,2026-08-01 12:01:50,CREDIT,ACC-1047,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90032,LED-90032,POSTED,999.0,INR,2026-08-01 12:22:31,CREDIT,ACC-1025,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90033,LED-90033,POSTED,4999.0,INR,2026-08-01 12:33:59,CREDIT,ACC-1015,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90034,LED-90034,POSTED,499.0,INR,2026-08-01 12:23:49,CREDIT,ACC-1079,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90035,LED-90035,POSTED,1599.0,INR,2026-08-01 12:50:55,CREDIT,ACC-1008,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90036,LED-90036,POSTED,799.0,INR,2026-08-01 12:47:27,CREDIT,ACC-1024,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90037,LED-90037,POSTED,6750.0,INR,2026-08-01 12:57:02,CREDIT,ACC-1067,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90038,LED-90038,POSTED,299.0,INR,2026-08-01 13:02:35,CREDIT,ACC-1052,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90040,LED-90040,POSTED,12500.0,INR,2026-08-01 13:26:52,CREDIT,ACC-1068,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90041,LED-90041,POSTED,299.0,INR,2026-08-01 13:27:46,CREDIT,ACC-1052,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90043,LED-90043,POSTED,1599.0,INR,2026-08-01 13:48:37,CREDIT,ACC-1087,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90044,LED-90044,POSTED,799.0,INR,2026-08-01 13:40:25,CREDIT,ACC-1090,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90045,LED-90045,POSTED,12500.0,INR,2026-08-01 13:57:47,CREDIT,ACC-1018,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90046,LED-90046,POSTED,2499.0,INR,2026-08-01 13:45:59,CREDIT,ACC-1062,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90047,LED-90047,POSTED,3499.0,INR,2026-08-01 14:00:38,CREDIT,ACC-1011,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90048,LED-90048,POSTED,3499.0,INR,2026-08-01 14:05:12,CREDIT,ACC-1086,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90049,LED-90049,POSTED,4999.0,INR,2026-08-01 14:19:54,CREDIT,ACC-1023,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90051,LED-90051,POSTED,1599.0,INR,2026-08-01 14:23:24,CREDIT,ACC-1003,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90052,LED-90052,POSTED,4999.0,INR,2026-08-01 14:24:36,CREDIT,ACC-1060,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90053,LED-90053,POSTED,4200.0,INR,2026-08-01 14:47:10,CREDIT,ACC-1006,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90054,LED-90054,POSTED,999.0,INR,2026-08-01 15:03:11,CREDIT,ACC-1017,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90055,LED-90055,POSTED,4999.0,INR,2026-08-01 15:08:36,CREDIT,ACC-1085,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90057,LED-90057,POSTED,199.0,INR,2026-08-01 15:10:30,CREDIT,ACC-1086,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90058,LED-90058,POSTED,6750.0,INR,2026-08-01 15:18:24,CREDIT,ACC-1079,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90059,LED-90059,POSTED,12500.0,INR,2026-08-01 15:35:18,CREDIT,ACC-1054,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90060,LED-90060,POSTED,4999.0,INR,2026-08-01 15:30:04,CREDIT,ACC-1052,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90062,LED-90062,POSTED,499.0,INR,2026-08-01 15:42:56,CREDIT,ACC-1076,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90063,LED-90063,POSTED,299.0,INR,2026-08-01 16:04:12,CREDIT,ACC-1016,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90064,LED-90064,POSTED,299.0,INR,2026-08-01 16:06:39,CREDIT,ACC-1057,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90066,LED-90066,POSTED,199.0,INR,2026-08-01 16:29:53,CREDIT,ACC-1014,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90067,LED-90067,POSTED,799.0,INR,2026-08-01 16:14:54,CREDIT,ACC-1044,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90068,LED-90068,POSTED,799.0,INR,2026-08-01 16:25:39,CREDIT,ACC-1066,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90069,LED-90069,POSTED,999.0,INR,2026-08-01 16:41:00,CREDIT,ACC-1022,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90071,LED-90071,POSTED,12500.0,INR,2026-08-01 16:50:47,CREDIT,ACC-1024,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90072,LED-90072,POSTED,1599.0,INR,2026-08-01 16:21:11,CREDIT,ACC-1073,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90073,LED-90073,POSTED,2899.0,INR,2026-08-01 16:52:51,CREDIT,ACC-1016,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90074,LED-90074,POSTED,999.0,INR,2026-08-01 16:37:12,CREDIT,ACC-1050,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90075,LED-90075,POSTED,299.0,INR,2026-08-01 17:13:36,CREDIT,ACC-1040,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90076,LED-90076,POSTED,799.0,INR,2026-08-01 17:27:59,CREDIT,ACC-1067,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90077,LED-90077,POSTED,199.0,INR,2026-08-01 17:29:35,CREDIT,ACC-1011,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90079,LED-90079,POSTED,2499.0,INR,2026-08-01 17:50:06,CREDIT,ACC-1091,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90080,LED-90080,POSTED,6750.0,INR,2026-08-01 17:57:28,CREDIT,ACC-1048,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90081,LED-90081,POSTED,1599.0,INR,2026-08-01 18:10:37,CREDIT,ACC-1053,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90082,LED-90082,POSTED,1599.0,INR,2026-08-01 18:15:39,CREDIT,ACC-1066,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90083,LED-90083,POSTED,1999.0,INR,2026-08-01 18:20:56,CREDIT,ACC-1096,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90084,LED-90084,POSTED,2499.0,INR,2026-08-01 18:22:59,CREDIT,ACC-1008,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90085,LED-90085,POSTED,799.0,INR,2026-08-01 18:24:40,CREDIT,ACC-1084,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90086,LED-90086,POSTED,199.0,INR,2026-08-01 18:29:38,CREDIT,ACC-1044,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90087,LED-90087,POSTED,1250.0,INR,2026-08-01 18:43:03,CREDIT,ACC-1097,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90088,LED-90088,POSTED,799.0,INR,2026-08-01 18:54:26,CREDIT,ACC-1062,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90090,LED-90090,POSTED,12500.0,INR,2026-08-01 19:14:01,CREDIT,ACC-1099,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90091,LED-90091,POSTED,12500.0,INR,2026-08-01 19:22:47,CREDIT,ACC-1077,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90092,LED-90092,POSTED,199.0,INR,2026-08-01 19:18:52,CREDIT,ACC-1056,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90093,LED-90093,POSTED,1499.0,INR,2026-08-01 19:23:06,CREDIT,ACC-1036,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90094,LED-90094,POSTED,3499.0,INR,2026-08-01 19:41:28,CREDIT,ACC-1036,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90095,LED-90095,POSTED,1250.0,INR,2026-08-01 19:30:55,CREDIT,ACC-1045,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90096,LED-90096,POSTED,1999.0,INR,2026-08-01 19:50:15,CREDIT,ACC-1084,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90097,LED-90097,POSTED,4999.0,INR,2026-08-01 19:42:28,CREDIT,ACC-1078,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90098,LED-90098,POSTED,799.0,INR,2026-08-01 20:12:24,CREDIT,ACC-1005,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90099,LED-90099,POSTED,1999.0,INR,2026-08-01 20:09:51,CREDIT,ACC-1008,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90100,LED-90100,POSTED,2499.0,INR,2026-08-01 20:25:12,CREDIT,ACC-1047,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90101,LED-90101,POSTED,2899.0,INR,2026-08-01 20:11:27,CREDIT,ACC-1057,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90102,LED-90102,POSTED,1599.0,INR,2026-08-01 20:19:12,CREDIT,ACC-1014,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90104,LED-90104,POSTED,1599.0,INR,2026-08-01 20:36:03,CREDIT,ACC-1034,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90105,LED-90105,POSTED,12500.0,INR,2026-08-01 20:57:09,CREDIT,ACC-1023,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90106,LED-90106,POSTED,12500.0,INR,2026-08-01 20:54:25,CREDIT,ACC-1089,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90107,LED-90107,POSTED,6750.0,INR,2026-08-01 21:10:22,CREDIT,ACC-1045,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90108,LED-90108,POSTED,3499.0,INR,2026-08-01 21:18:54,CREDIT,ACC-1049,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90109,LED-90109,POSTED,4999.0,INR,2026-08-01 21:20:44,CREDIT,ACC-1038,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90110,LED-90110,POSTED,1250.0,INR,2026-08-01 21:10:45,CREDIT,ACC-1047,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90111,LED-90111,POSTED,2499.0,INR,2026-08-01 21:27:46,CREDIT,ACC-1039,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90113,LED-90113,POSTED,499.0,INR,2026-08-01 22:00:53,CREDIT,ACC-1050,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90114,LED-90114,POSTED,2899.0,INR,2026-08-01 21:53:44,CREDIT,ACC-1087,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90115,LED-90115,POSTED,4999.0,INR,2026-08-01 21:47:50,CREDIT,ACC-1100,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90116,LED-90116,POSTED,8999.0,INR,2026-08-01 21:56:11,CREDIT,ACC-1054,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90117,LED-90117,POSTED,299.0,INR,2026-08-01 22:13:44,CREDIT,ACC-1086,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90118,LED-90118,POSTED,2499.0,INR,2026-08-01 22:17:07,CREDIT,ACC-1013,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90119,LED-90119,POSTED,2899.0,INR,2026-08-01 22:20:33,CREDIT,ACC-1012,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90120,LED-90120,POSTED,2499.0,INR,2026-08-01 22:47:53,CREDIT,ACC-1048,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90121,LED-90121,POSTED,999.0,INR,2026-08-01 22:54:15,CREDIT,ACC-1030,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90122,LED-90122,POSTED,3499.0,INR,2026-08-01 22:09:59,CREDIT,ACC-1063,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90123,LED-90123,POSTED,4999.0,INR,2026-08-01 22:46:53,CREDIT,ACC-1019,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90124,LED-90124,POSTED,199.0,INR,2026-08-01 23:16:07,CREDIT,ACC-1048,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90125,LED-90125,POSTED,3499.0,INR,2026-08-01 23:15:47,CREDIT,ACC-1008,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90126,LED-90126,POSTED,1250.0,INR,2026-08-01 23:26:56,CREDIT,ACC-1041,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90128,LED-90128,POSTED,499.0,INR,2026-08-01 23:26:51,CREDIT,ACC-1080,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90129,LED-90129,POSTED,4200.0,INR,2026-08-01 23:27:09,CREDIT,ACC-1072,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90130,LED-90130,POSTED,6750.0,INR,2026-08-01 23:32:13,CREDIT,ACC-1074,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90131,LED-90131,POSTED,12500.0,INR,2026-08-01 23:46:00,CREDIT,ACC-1073,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90132,LED-90132,POSTED,199.0,INR,2026-08-01 23:52:57,CREDIT,ACC-1062,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90134,LED-90134,POSTED,199.0,INR,2026-08-02 00:07:13,CREDIT,ACC-1099,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90136,LED-90136,POSTED,999.0,INR,2026-08-02 00:40:19,CREDIT,ACC-1006,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90137,LED-90137,POSTED,6750.0,INR,2026-08-02 00:44:34,CREDIT,ACC-1015,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90138,LED-90138,POSTED,999.0,INR,2026-08-02 00:48:55,CREDIT,ACC-1019,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90139,LED-90139,POSTED,499.0,INR,2026-08-02 00:38:20,CREDIT,ACC-1063,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90140,LED-90140,POSTED,4200.0,INR,2026-08-02 00:55:21,CREDIT,ACC-1088,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90141,LED-90141,POSTED,1250.0,INR,2026-08-02 01:12:35,CREDIT,ACC-1020,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90142,LED-90142,POSTED,499.0,INR,2026-08-02 01:11:56,CREDIT,ACC-1074,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90143,LED-90143,POSTED,499.0,INR,2026-08-02 01:24:27,CREDIT,ACC-1002,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90144,LED-90144,POSTED,8999.0,INR,2026-08-02 01:24:25,CREDIT,ACC-1087,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90145,LED-90145,POSTED,1999.0,INR,2026-08-02 01:38:45,CREDIT,ACC-1052,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90146,LED-90146,POSTED,199.0,INR,2026-08-02 01:35:24,CREDIT,ACC-1024,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90147,LED-90147,POSTED,6750.0,INR,2026-08-02 01:41:50,CREDIT,ACC-1069,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90148,LED-90148,POSTED,4200.0,INR,2026-08-02 01:53:22,CREDIT,ACC-1005,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90149,LED-90149,POSTED,1499.0,INR,2026-08-02 02:01:26,CREDIT,ACC-1056,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90150,LED-90150,POSTED,12500.0,INR,2026-08-02 02:05:18,CREDIT,ACC-1027,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90151,LED-90151,POSTED,299.0,INR,2026-08-02 02:17:36,CREDIT,ACC-1027,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90152,LED-90152,POSTED,12500.0,INR,2026-08-02 02:15:25,CREDIT,ACC-1008,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90153,LED-90153,POSTED,499.0,INR,2026-08-02 02:19:36,CREDIT,ACC-1007,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90154,LED-90154,POSTED,999.0,INR,2026-08-02 02:25:32,CREDIT,ACC-1035,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90155,LED-90155,POSTED,1499.0,INR,2026-08-02 02:42:20,CREDIT,ACC-1011,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
TXN-90157,LED-90157,POSTED,8999.0,INR,2026-08-02 02:55:35,CREDIT,ACC-1062,"{""source"": ""mock_ledger"", ""environment"": ""hackathon"", ""accountType"": ""merchant_settlement""}"
