transactionId,amount,currency,paymentMethod,merchantId,customerReference,transactionStatus,transactionTimestamp
TXN-90063,299.0,INR,UPI,MER-1016,ORD-90063,SUCCESS,2026-08-01 15:23:12
TXN-90064,299.0,INR,NETBANKING,MER-1057,ORD-90064,SUCCESS,2026-08-01 15:29:39
TXN-90065,4999.0,INR,NETBANKING,MER-1006,ORD-90065,PENDING,2026-08-01 15:35:44
TXN-90066,199.0,INR,UPI,MER-1014,ORD-90066,SUCCESS,2026-08-01 15:47:53
TXN-90067,799.0,INR,CARD,MER-1044,ORD-90067,SUCCESS,2026-08-01 15:54:54
TXN-90068,799.0,INR,NETBANKING,MER-1066,ORD-90068,SUCCESS,2026-08-01 15:57:39
TXN-90069,999.0,INR,NETBANKING,MER-1022,ORD-90069,SUCCESS,2026-08-01 16:07:00
TXN-90070,2899.0,INR,CARD,MER-1083,ORD-90070,PENDING,2026-08-01 16:13:49
TXN-90071,12500.0,INR,UPI,MER-1024,ORD-90071,SUCCESS,2026-08-01 16:21:47
TXN-90072,1599.0,INR,CARD,MER-1073,ORD-90072,SUCCESS,2026-08-01 16:26:11
TXN-90073,2899.0,INR,NETBANKING,MER-1016,ORD-90073,SUCCESS,2026-08-01 16:31:51
TXN-90074,999.0,INR,CARD,MER-1050,ORD-90074,SUCCESS,2026-08-01 16:43:12
TXN-90075,299.0,INR,UPI,MER-1040,ORD-90075,SUCCESS,2026-08-01 16:49:36
TXN-90076,799.0,INR,NETBANKING,MER-1067,ORD-90076,SUCCESS,2026-08-01 16:56:59
TXN-90077,199.0,INR,CARD,MER-1011,ORD-90077,SUCCESS,2026-08-01 17:04:35
TXN-90078,199.0,INR,NETBANKING,MER-1084,ORD-90078,FAILED,2026-08-01 17:08:13
TXN-90079,2499.0,INR,UPI,MER-1091,ORD-90079,SUCCESS,2026-08-01 17:16:06
TXN-90080,6750.0,INR,CARD,MER-1048,ORD-90080,SUCCESS,2026-08-01 17:24:28
TXN-90081,1599.0,INR,CARD,MER-1053,ORD-90081,SUCCESS,2026-08-01 17:31:37
TXN-90082,1599.0,INR,CARD,MER-1066,ORD-90082,SUCCESS,2026-08-01 17:34:39
TXN-90083,1999.0,INR,UPI,MER-1096,ORD-90083,SUCCESS,2026-08-01 17:44:56
TXN-90084,2499.0,INR,UPI,MER-1008,ORD-90084,SUCCESS,2026-08-01 17:52:59
TXN-90085,799.0,INR,UPI,MER-1084,ORD-90085,SUCCESS,2026-08-01 17:56:40
TXN-90086,199.0,INR,CARD,MER-1044,ORD-90086,SUCCESS,2026-08-01 18:07:38
TXN-90087,1250.0,INR,NETBANKING,MER-1097,ORD-90087,SUCCESS,2026-08-01 18:12:03
TXN-90088,799.0,INR,UPI,MER-1062,ORD-90088,SUCCESS,2026-08-01 18:21:26
TXN-90089,299.0,INR,UPI,MER-1040,ORD-90089,FAILED,2026-08-01 18:25:11
TXN-90090,12500.0,INR,CARD,MER-1099,ORD-90090,SUCCESS,2026-08-01 18:33:01
TXN-90091,12500.0,INR,CARD,MER-1077,ORD-90091,SUCCESS,2026-08-01 18:42:47
TXN-90092,199.0,INR,CARD,MER-1056,ORD-90092,SUCCESS,2026-08-01 18:44:52
TXN-90093,1499.0,INR,CARD,MER-1036,ORD-90093,SUCCESS,2026-08-01 18:55:06
TXN-90094,3499.0,INR,CARD,MER-1036,ORD-90094,SUCCESS,2026-08-01 19:01:28
TXN-90095,1250.0,INR,NETBANKING,MER-1045,ORD-90095,SUCCESS,2026-08-01 19:07:55
TXN-90096,1999.0,INR,CARD,MER-1084,ORD-90096,SUCCESS,2026-08-01 19:12:15
TXN-90097,4999.0,INR,NETBANKING,MER-1078,ORD-90097,SUCCESS,2026-08-01 19:22:28
TXN-90098,799.0,INR,UPI,MER-1005,ORD-90098,SUCCESS,2026-08-01 19:31:24
TXN-90099,1999.0,INR,UPI,MER-1008,ORD-90099,SUCCESS,2026-08-01 19:33:51
TXN-90100,2499.0,INR,NETBANKING,MER-1047,ORD-90100,SUCCESS,2026-08-01 19:45:12
TXN-90101,2899.0,INR,CARD,MER-1057,ORD-90101,SUCCESS,2026-08-01 19:48:27
TXN-90102,1599.0,INR,NETBANKING,MER-1014,ORD-90102,SUCCESS,2026-08-01 19:54:12
TXN-90103,499.0,INR,UPI,MER-1018,ORD-90103,PENDING,2026-08-01 20:01:50
TXN-90104,1599.0,INR,NETBANKING,MER-1034,ORD-90104,SUCCESS,2026-08-01 20:12:03
TXN-90105,12500.0,INR,NETBANKING,MER-1023,ORD-90105,SUCCESS,2026-08-01 20:18:09
TXN-90106,12500.0,INR,NETBANKING,MER-1089,ORD-90106,SUCCESS,2026-08-01 20:25:25
TXN-90107,6750.0,INR,CARD,MER-1045,ORD-90107,SUCCESS,2026-08-01 20:33:22
TXN-90108,3499.0,INR,CARD,MER-1049,ORD-90108,SUCCESS,2026-08-01 20:38:54
TXN-90109,4999.0,INR,NETBANKING,MER-1038,ORD-90109,SUCCESS,2026-08-01 20:43:44
TXN-90110,1250.0,INR,CARD,MER-1047,ORD-90110,SUCCESS,2026-08-01 20:50:45
TXN-90111,2499.0,INR,UPI,MER-1039,ORD-90111,SUCCESS,2026-08-01 21:01:46
TXN-90112,12500.0,INR,CARD,MER-1032,ORD-90112,SUCCESS,2026-08-01 21:05:13
TXN-90113,499.0,INR,CARD,MER-1050,ORD-90113,SUCCESS,2026-08-01 21:16:53
TXN-90114,2899.0,INR,CARD,MER-1087,ORD-90114,SUCCESS,2026-08-01 21:20:44
TXN-90115,4999.0,INR,CARD,MER-1100,ORD-90115,SUCCESS,2026-08-01 21:27:50
TXN-90116,8999.0,INR,UPI,MER-1054,ORD-90116,SUCCESS,2026-08-01 21:35:11
TXN-90117,299.0,INR,UPI,MER-1086,ORD-90117,SUCCESS,2026-08-01 21:40:44
TXN-90118,2499.0,INR,UPI,MER-1013,ORD-90118,SUCCESS,2026-08-01 21:49:07
TXN-90119,2899.0,INR,CARD,MER-1012,ORD-90119,SUCCESS,2026-08-01 21:58:33
TXN-90120,2499.0,INR,UPI,MER-1048,ORD-90120,SUCCESS,2026-08-01 22:04:53
TXN-90121,999.0,INR,CARD,MER-1030,ORD-90121,SUCCESS,2026-08-01 22:09:15
TXN-90122,3499.0,INR,UPI,MER-1063,ORD-90122,SUCCESS,2026-08-01 22:18:59
TXN-90123,4999.0,INR,NETBANKING,MER-1019,ORD-90123,SUCCESS,2026-08-01 22:26:53
TXN-90124,199.0,INR,UPI,MER-1048,ORD-90124,SUCCESS,2026-08-01 22:33:07
TXN-90125,3499.0,INR,UPI,MER-1008,ORD-90125,SUCCESS,2026-08-01 22:37:47
TXN-90126,1250.0,INR,NETBANKING,MER-1041,ORD-90126,SUCCESS,2026-08-01 22:47:56
TXN-90127,1999.0,INR,UPI,MER-1050,ORD-90127,SUCCESS,2026-08-01 22:50:30
TXN-90128,499.0,INR,NETBANKING,MER-1080,ORD-90128,SUCCESS,2026-08-01 23:00:51
TXN-90129,4200.0,INR,CARD,MER-1072,ORD-90129,SUCCESS,2026-08-01 23:03:09
TXN-90130,6750.0,INR,NETBANKING,MER-1074,ORD-90130,SUCCESS,2026-08-01 23:11:13
TXN-90131,12500.0,INR,UPI,MER-1073,ORD-90131,SUCCESS,2026-08-01 23:17:00
TXN-90132,199.0,INR,UPI,MER-1062,ORD-90132,SUCCESS,2026-08-01 23:29:57
TXN-90133,4200.0,INR,NETBANKING,MER-1062,ORD-90133,FAILED,2026-08-01 23:33:26
TXN-90134,199.0,INR,NETBANKING,MER-1099,ORD-90134,SUCCESS,2026-08-01 23:39:13
TXN-90135,999.0,INR,CARD,MER-1052,ORD-90135,SUCCESS,2026-08-01 23:45:30
TXN-90136,999.0,INR,NETBANKING,MER-1006,ORD-90136,SUCCESS,2026-08-01 23:56:19
TXN-90137,6750.0,INR,CARD,MER-1015,ORD-90137,SUCCESS,2026-08-01 23:59:34
TXN-90138,999.0,INR,CARD,MER-1019,ORD-90138,SUCCESS,2026-08-02 00:07:55
TXN-90139,499.0,INR,NETBANKING,MER-1063,ORD-90139,SUCCESS,2026-08-02 00:18:20
TXN-90140,4200.0,INR,UPI,MER-1088,ORD-90140,SUCCESS,2026-08-02 00:21:21
TXN-90141,1250.0,INR,CARD,MER-1020,ORD-90141,SUCCESS,2026-08-02 00:31:35
TXN-90142,499.0,INR,UPI,MER-1074,ORD-90142,SUCCESS,2026-08-02 00:36:56
TXN-90143,499.0,INR,CARD,MER-1002,ORD-90143,SUCCESS,2026-08-02 00:42:27
TXN-90144,8999.0,INR,CARD,MER-1087,ORD-90144,SUCCESS,2026-08-02 00:49:25
TXN-90145,1999.0,INR,UPI,MER-1052,ORD-90145,SUCCESS,2026-08-02 01:00:45
TXN-90146,199.0,INR,NETBANKING,MER-1024,ORD-90146,SUCCESS,2026-08-02 01:05:24
TXN-90147,6750.0,INR,UPI,MER-1069,ORD-90147,SUCCESS,2026-08-02 01:09:50
TXN-90148,4200.0,INR,NETBANKING,MER-1005,ORD-90148,SUCCESS,2026-08-02 01:19:22
TXN-90149,1499.0,INR,CARD,MER-1056,ORD-90149,SUCCESS,2026-08-02 01:23:26
TXN-90150,12500.0,INR,UPI,MER-1027,ORD-90150,SUCCESS,2026-08-02 01:35:18
TXN-90151,299.0,INR,CARD,MER-1027,ORD-90151,SUCCESS,2026-08-02 01:41:36
TXN-90152,12500.0,INR,NETBANKING,MER-1008,ORD-90152,SUCCESS,2026-08-02 01:47:25
TXN-90153,499.0,INR,CARD,MER-1007,ORD-90153,SUCCESS,2026-08-02 01:56:36
TXN-90154,999.0,INR,UPI,MER-1035,ORD-90154,SUCCESS,2026-08-02 02:01:32
TXN-90155,1499.0,INR,CARD,MER-1011,ORD-90155,SUCCESS,2026-08-02 02:07:20
TXN-90156,1250.0,INR,CARD,MER-1056,ORD-90156,SUCCESS,2026-08-02 02:15:29
TXN-90157,8999.0,INR,CARD,MER-1062,ORD-90157,SUCCESS,2026-08-02 02:20:35
TXN-90158,1250.0,INR,UPI,MER-1042,ORD-90158,SUCCESS,2026-08-02 02:30:26
TXN-90159,299.0,INR,CARD,MER-1008,ORD-90159,SUCCESS,2026-08-02 02:35:46
TXN-90160,2499.0,INR,CARD,MER-1016,ORD-90160,SUCCESS,2026-08-02 02:41:40
TXN-90161,4999.0,INR,NETBANKING,MER-1028,ORD-90161,SUCCESS,2026-08-02 02:51:15
TXN-90162,4999.0,INR,UPI,MER-1020,ORD-90162,PENDING,2026-08-02 02:59:01
TXN-90163,3499.0,INR,CARD,MER-1020,ORD-90163,SUCCESS,2026-08-02 03:05:07
TXN-90164,3499.0,INR,UPI,MER-1019,ORD-90164,SUCCESS,2026-08-02 03:09:14
TXN-90165,8999.0,INR,NETBANKING,MER-1044,ORD-90165,SUCCESS,2026-08-02 03:16:08
TXN-90166,2499.0,INR,CARD,MER-1037,ORD-90166,SUCCESS,2026-08-02 03:25:40
TXN-90167,4200.0,INR,UPI,MER-1084,ORD-90167,SUCCESS,2026-08-02 03:32:55
TXN-90168,1250.0,INR,NETBANKING,MER-1079,ORD-90168,SUCCESS,2026-08-02 03:38:25
TXN-90169,1250.0,INR,CARD,MER-1037,ORD-90169,SUCCESS,2026-08-02 03:45:12
TXN-90170,1250.0,INR,NETBANKING,MER-1093,ORD-90170,SUCCESS,2026-08-02 03:52:52
TXN-90171,1999.0,INR,CARD,MER-1059,ORD-90171,SUCCESS,2026-08-02 04:00:33
TXN-90172,1599.0,INR,NETBANKING,MER-1087,ORD-90172,SUCCESS,2026-08-02 04:09:36
TXN-90173,4999.0,INR,UPI,MER-1080,ORD-90173,SUCCESS,2026-08-02 04:15:55
TXN-90174,1599.0,INR,CARD,MER-1006,ORD-90174,SUCCESS,2026-08-02 04:21:44
TXN-90175,1599.0,INR,UPI,MER-1060,ORD-90175,SUCCESS,2026-08-02 04:25:40
TXN-90176,1599.0,INR,CARD,MER-1058,ORD-90176,SUCCESS,2026-08-02 04:37:36
TXN-90177,1250.0,INR,NETBANKING,MER-1035,ORD-90177,SUCCESS,2026-08-02 04:44:14
TXN-90178,2499.0,INR,NETBANKING,MER-1097,ORD-90178,SUCCESS,2026-08-02 04:49:08
TXN-90179,1599.0,INR,CARD,MER-1080,ORD-90179,SUCCESS,2026-08-02 04:57:08
TXN-90180,199.0,INR,CARD,MER-1031,ORD-90180,SUCCESS,2026-08-02 05:00:27
TXN-90181,4999.0,INR,UPI,MER-1039,ORD-90181,SUCCESS,2026-08-02 05:11:32
TXN-90182,8999.0,INR,CARD,MER-1023,ORD-90182,SUCCESS,2026-08-02 05:16:51
TXN-90183,1250.0,INR,UPI,MER-1077,ORD-90183,FAILED,2026-08-02 05:21:59
TXN-90184,3499.0,INR,UPI,MER-1076,ORD-90184,SUCCESS,2026-08-02 05:28:15
TXN-90185,1599.0,INR,UPI,MER-1011,ORD-90185,PENDING,2026-08-02 05:40:29
TXN-90186,1599.0,INR,NETBANKING,MER-1006,ORD-90186,SUCCESS,2026-08-02 05:44:54
TXN-90187,6750.0,INR,CARD,MER-1039,ORD-90187,SUCCESS,2026-08-02 05:54:55
TXN-90188,4999.0,INR,NETBANKING,MER-1050,ORD-90188,SUCCESS,2026-08-02 05:57:48
TXN-90189,4999.0,INR,CARD,MER-1046,ORD-90189,SUCCESS,2026-08-02 06:06:45
TXN-90190,999.0,INR,NETBANKING,MER-1033,ORD-90190,SUCCESS,2026-08-02 06:12:24
TXN-90191,4200.0,INR,UPI,MER-1063,ORD-90191,SUCCESS,2026-08-02 06:20:49
TXN-90192,1250.0,INR,CARD,MER-1019,ORD-90192,SUCCESS,2026-08-02 06:27:11
TXN-90193,4999.0,INR,NETBANKING,MER-1076,ORD-90193,SUCCESS,2026-08-02 06:36:50
TXN-90194,1999.0,INR,UPI,MER-1036,ORD-90194,PENDING,2026-08-02 06:43:06
TXN-90195,4999.0,INR,UPI,MER-1096,ORD-90195,SUCCESS,2026-08-02 06:45:09
TXN-90196,2899.0,INR,UPI,MER-1081,ORD-90196,FAILED,2026-08-02 06:53:27
TXN-90197,799.0,INR,CARD,MER-1056,ORD-90197,PENDING,2026-08-02 07:04:25
TXN-90198,1250.0,INR,NETBANKING,MER-1035,ORD-90198,SUCCESS,2026-08-02 07:11:01
TXN-90199,3499.0,INR,UPI,MER-1011,ORD-90199,FAILED,2026-08-02 07:14:45
TXN-90200,999.0,INR,NETBANKING,MER-1036,ORD-90200,SUCCESS,2026-08-02 07:23:13
TXN-90201,2899.0,INR,NETBANKING,MER-1046,ORD-90201,SUCCESS,2026-08-02 07:27:12
TXN-90202,3499.0,INR,UPI,MER-1045,ORD-90202,SUCCESS,2026-08-02 07:36:37
TXN-90203,4999.0,INR,CARD,MER-1035,ORD-90203,SUCCESS,2026-08-02 07:46:45
TXN-90204,499.0,INR,NETBANKING,MER-1005,ORD-90204,SUCCESS,2026-08-02 07:53:12
TXN-90205,799.0,INR,CARD,MER-1051,ORD-90205,SUCCESS,2026-08-02 08:00:18
TXN-90206,8999.0,INR,NETBANKING,MER-1095,ORD-90206,SUCCESS,2026-08-02 08:02:22
TXN-90207,3499.0,INR,NETBANKING,MER-1035,ORD-90207,SUCCESS,2026-08-02 08:12:23
TXN-90208,2899.0,INR,CARD,MER-1053,ORD-90208,SUCCESS,2026-08-02 08:21:38
TXN-90209,6750.0,INR,NETBANKING,MER-1067,ORD-90209,SUCCESS,2026-08-02 08:25:12
TXN-90210,199.0,INR,CARD,MER-1078,ORD-90210,SUCCESS,2026-08-02 08:34:25
TXN-90211,2499.0,INR,CARD,MER-1012,ORD-90211,SUCCESS,2026-08-02 08:39:32
TXN-90212,1599.0,INR,UPI,MER-1051,ORD-90212,SUCCESS,2026-08-02 08:49:53
TXN-90213,999.0,INR,NETBANKING,MER-1027,ORD-90213,SUCCESS,2026-08-02 08:51:19
TXN-90214,199.0,INR,NETBANKING,MER-1075,ORD-90214,SUCCESS,2026-08-02 09:01:28
TXN-90215,2499.0,INR,UPI,MER-1023,ORD-90215,SUCCESS,2026-08-02 09:08:59
TXN-90216,2499.0,INR,CARD,MER-1028,ORD-90216,SUCCESS,2026-08-02 09:15:39
TXN-90217,1499.0,INR,UPI,MER-1086,ORD-90217,SUCCESS,2026-08-02 09:23:27
TXN-90218,4999.0,INR,CARD,MER-1058,ORD-90218,SUCCESS,2026-08-02 09:31:39
TXN-90219,1499.0,INR,NETBANKING,MER-1068,ORD-90219,SUCCESS,2026-08-02 09:33:56
TXN-90220,799.0,INR,CARD,MER-1061,ORD-90220,SUCCESS,2026-08-02 09:42:26
TXN-90221,6750.0,INR,NETBANKING,MER-1092,ORD-90221,SUCCESS,2026-08-02 09:47:10
TXN-90222,1250.0,INR,NETBANKING,MER-1049,ORD-90222,SUCCESS,2026-08-02 09:58:56
TXN-90223,4200.0,INR,UPI,MER-1045,ORD-90223,SUCCESS,2026-08-02 10:01:14
TXN-90224,4200.0,INR,UPI,MER-1091,ORD-90224,SUCCESS,2026-08-02 10:10:13
TXN-90225,1599.0,INR,UPI,MER-1030,ORD-90225,SUCCESS,2026-08-02 10:17:31
TXN-90226,1999.0,INR,UPI,MER-1063,ORD-90226,SUCCESS,2026-08-02 10:22:43
TXN-90227,799.0,INR,NETBANKING,MER-1027,ORD-90227,SUCCESS,2026-08-02 10:32:04
TXN-90228,4200.0,INR,CARD,MER-1055,ORD-90228,SUCCESS,2026-08-02 10:36:36
TXN-90229,499.0,INR,NETBANKING,MER-1056,ORD-90229,SUCCESS,2026-08-02 10:45:54
TXN-90230,2899.0,INR,NETBANKING,MER-1029,ORD-90230,SUCCESS,2026-08-02 10:53:58
TXN-90231,4999.0,INR,NETBANKING,MER-1078,ORD-90231,SUCCESS,2026-08-02 10:57:44
TXN-90232,1599.0,INR,CARD,MER-1045,ORD-90232,SUCCESS,2026-08-02 11:08:22
TXN-90233,499.0,INR,UPI,MER-1043,ORD-90233,SUCCESS,2026-08-02 11:12:27
TXN-90234,799.0,INR,CARD,MER-1099,ORD-90234,SUCCESS,2026-08-02 11:18:36
TXN-90235,199.0,INR,NETBANKING,MER-1020,ORD-90235,SUCCESS,2026-08-02 11:27:42
TXN-90236,12500.0,INR,CARD,MER-1035,ORD-90236,SUCCESS,2026-08-02 11:34:45
TXN-90237,2499.0,INR,NETBANKING,MER-1042,ORD-90237,SUCCESS,2026-08-02 11:43:41
TXN-90238,6750.0,INR,CARD,MER-1097,ORD-90238,SUCCESS,2026-08-02 11:46:33
TXN-90239,499.0,INR,NETBANKING,MER-1006,ORD-90239,SUCCESS,2026-08-02 11:57:45
TXN-90240,1999.0,INR,UPI,MER-1009,ORD-90240,PENDING,2026-08-02 12:04:40
TXN-90241,1499.0,INR,UPI,MER-1027,ORD-90241,SUCCESS,2026-08-02 12:11:56
TXN-90242,1250.0,INR,CARD,MER-1042,ORD-90242,FAILED,2026-08-02 12:16:49
TXN-90243,4999.0,INR,NETBANKING,MER-1003,ORD-90243,FAILED,2026-08-02 12:24:14
TXN-90244,6750.0,INR,NETBANKING,MER-1031,ORD-90244,SUCCESS,2026-08-02 12:32:37
TXN-90245,1250.0,INR,CARD,MER-1042,ORD-90245,SUCCESS,2026-08-02 12:36:25
TXN-90246,6750.0,INR,NETBANKING,MER-1089,ORD-90246,SUCCESS,2026-08-02 12:42:32
TXN-90247,8999.0,INR,UPI,MER-1019,ORD-90247,SUCCESS,2026-08-02 12:54:52
TXN-90248,1250.0,INR,UPI,MER-1076,ORD-90248,SUCCESS,2026-08-02 12:59:10
TXN-90249,4999.0,INR,UPI,MER-1003,ORD-90249,FAILED,2026-08-02 13:07:39
TXN-90250,799.0,INR,UPI,MER-1018,ORD-90250,SUCCESS,2026-08-02 13:13:52
TXN-90251,6750.0,INR,CARD,MER-1055,ORD-90251,SUCCESS,2026-08-02 13:21:28
TXN-90252,1250.0,INR,NETBANKING,MER-1057,ORD-90252,FAILED,2026-08-02 13:26:33
TXN-90253,8999.0,INR,CARD,MER-1088,ORD-90253,SUCCESS,2026-08-02 13:36:08
TXN-90254,1499.0,INR,CARD,MER-1072,ORD-90254,SUCCESS,2026-08-02 13:38:58
TXN-90255,4200.0,INR,UPI,MER-1040,ORD-90255,SUCCESS,2026-08-02 13:47:22
TXN-90256,799.0,INR,NETBANKING,MER-1052,ORD-90256,SUCCESS,2026-08-02 13:55:07
TXN-90257,1599.0,INR,CARD,MER-1007,ORD-90257,SUCCESS,2026-08-02 14:01:16
TXN-90258,12500.0,INR,CARD,MER-1003,ORD-90258,SUCCESS,2026-08-02 14:11:29
TXN-90259,6750.0,INR,CARD,MER-1059,ORD-90259,SUCCESS,2026-08-02 14:17:07
TXN-90260,1499.0,INR,CARD,MER-1028,ORD-90260,SUCCESS,2026-08-02 14:22:42
TXN-90261,799.0,INR,CARD,MER-1010,ORD-90261,SUCCESS,2026-08-02 14:32:42
TXN-90262,1599.0,INR,CARD,MER-1093,ORD-90262,SUCCESS,2026-08-02 14:39:13
TXN-90263,4999.0,INR,NETBANKING,MER-1065,ORD-90263,SUCCESS,2026-08-02 14:43:34
TXN-90264,2899.0,INR,UPI,MER-1020,ORD-90264,SUCCESS,2026-08-02 14:52:20
